health_record_id,pet_id,checkup_date,health_status,vaccination_status
103,14,2017-10-25,Needs Care,Up to Date
104,746,2017-10-26,Healthy,Up to Date
105,99,2017-10-29,Healthy,Up to Date
106,853,2017-10-29,Healthy,Up to Date
107,1296,2017-10-29,Needs Care,Up to Date
108,1612,2017-10-29,Special Attention,Up to Date
109,738,2017-10-31,Healthy,Up to Date
110,1706,2017-11-01,Healthy,Up to Date
111,198,2017-11-04,Healthy,Up to Date
112,734,2017-11-07,Healthy,Up to Date
113,918,2017-11-10,Healthy,Up to Date
114,830,2017-11-13,Needs Care,Up to Date
115,1083,2017-11-13,Healthy,Up to Date
116,1581,2017-11-13,Healthy,Up to Date
117,374,2017-11-15,Needs Care,Up to Date
118,790,2017-11-19,Healthy,Needs Update
119,1407,2017-11-30,Needs Care,Up to Date
120,654,2017-12-01,Healthy,Up to Date
121,1699,2017-12-01,Healthy,Up to Date
122,1869,2017-12-01,Healthy,Up to Date
123,1898,2017-12-01,Healthy,Up to Date
124,51,2017-12-02,Healthy,Up to Date
125,1638,2017-12-02,Needs Care,Up to Date
126,1856,2017-12-03,Healthy,Up to Date
127,1775,2017-12-05,Healthy,Up to Date
128,460,2017-12-09,Healthy,Up to Date
129,614,2017-12-09,Needs Care,Up to Date
130,442,2017-12-11,Healthy,Up to Date
131,1359,2017-12-12,Healthy,Up to Date
132,1798,2017-12-12,Healthy,Up to Date
133,767,2017-12-14,Needs Care,Up to Date
134,936,2017-12-18,Healthy,Up to Date
135,1021,2017-12-18,Healthy,Up to Date
136,1219,2017-12-20,Healthy,Up to Date
137,906,2017-12-22,Healthy,Up to Date
138,1194,2017-12-24,Healthy,Up to Date
139,329,2017-12-25,Healthy,Up to Date
140,167,2017-12-26,Healthy,Up to Date
141,1538,2017-12-26,Healthy,Up to Date
142,1643,2017-12-30,Needs Care,Up to Date
143,1816,2017-12-30,Under Observation,Up to Date
144,1408,2017-12-31,Needs Care,Up to Date
145,533,2018-01-01,Healthy,Up to Date
146,1368,2018-01-01,Special Attention,Up to Date
147,1987,2018-01-01,Healthy,Up to Date
148,1833,2018-01-02,Needs Care,Up to Date
149,1486,2018-01-05,Healthy,Up to Date
150,729,2018-01-06,Healthy,Up to Date
151,599,2018-01-08,Healthy,Up to Date
152,670,2018-01-08,Needs Care,Up to Date
153,835,2018-01-08,Needs Care,Up to Date
154,853,2018-01-09,Healthy,Up to Date
155,1692,2018-01-09,Special Attention,Up to Date
156,1985,2018-01-09,Special Attention,Up to Date
157,283,2018-01-10,Healthy,Up to Date
158,306,2018-01-12,Healthy,Up to Date
159,376,2018-01-13,Needs Care,Up to Date
160,858,2018-01-16,Healthy,Up to Date
161,662,2018-01-18,Healthy,Up to Date
162,1227,2018-01-20,Healthy,Up to Date
163,1892,2018-01-22,Needs Care,Up to Date
164,1591,2018-01-24,Healthy,Up to Date
165,1747,2018-01-26,Needs Care,Up to Date
166,470,2018-01-27,Healthy,Up to Date
167,657,2018-01-29,Healthy,Up to Date
168,1004,2018-01-29,Healthy,Up to Date
169,1016,2018-01-30,Healthy,Needs Update
170,79,2018-02-01,Needs Care,Up to Date
171,308,2018-02-01,Needs Care,Up to Date
172,1826,2018-02-01,Needs Care,Up to Date
173,95,2018-02-04,Healthy,Up to Date
174,1121,2018-02-04,Healthy,Up to Date
175,1234,2018-02-05,Special Attention,Up to Date
176,1260,2018-02-07,Healthy,Up to Date
177,1263,2018-02-08,Needs Care,Up to Date
178,1652,2018-02-11,Healthy,Up to Date
179,347,2018-02-12,Healthy,Up to Date
180,1519,2018-02-13,Healthy,Needs Update
181,360,2018-02-14,Healthy,Up to Date
182,452,2018-02-14,Needs Care,Up to Date
183,1164,2018-02-19,Special Attention,Up to Date
184,756,2018-02-20,Healthy,Up to Date
185,986,2018-02-20,Needs Care,Up to Date
186,999,2018-02-21,Needs Care,Up to Date
187,1134,2018-02-21,Needs Care,Up to Date
188,1243,2018-02-23,Healthy,Up to Date
189,533,2018-02-24,Needs Care,Up to Date
190,1103,2018-02-24,Under Observation,Up to Date
191,1730,2018-02-24,Healthy,Up to Date
192,1491,2018-02-27,Healthy,Up to Date
193,306,2018-02-28,Healthy,Up to Date
194,1618,2018-02-28,Special Attention,Needs Update
195,542,2018-03-01,Healthy,Up to Date
196,587,2018-03-01,Healthy,Up to Date
197,1635,2018-03-01,Healthy,Up to Date
198,1741,2018-03-01,Healthy,Up to Date
199,40,2018-03-02,Healthy,Up to Date
200,1718,2018-03-03,Healthy,Needs Update
201,1394,2018-03-05,Needs Care,Up to Date
202,1504,2018-03-05,Needs Care,Up to Date
203,428,2018-03-06,Healthy,Up to Date
204,153,2018-03-08,Healthy,Up to Date
205,1075,2018-03-08,Healthy,Up to Date
206,1184,2018-03-08,Needs Care,Up to Date
207,278,2018-03-10,Needs Care,Up to Date
208,1589,2018-03-10,Healthy,Up to Date
209,534,2018-03-11,Healthy,Up to Date
210,1518,2018-03-11,Healthy,Up to Date
211,1962,2018-03-13,Healthy,Up to Date
212,357,2018-03-14,Healthy,Up to Date
213,639,2018-03-14,Healthy,Up to Date
214,1520,2018-03-14,Healthy,Up to Date
215,913,2018-03-15,Needs Care,Up to Date
216,1303,2018-03-15,Healthy,Up to Date
217,270,2018-03-16,Healthy,Up to Date
218,1491,2018-03-16,Healthy,Up to Date
219,1823,2018-03-16,Healthy,Up to Date
220,820,2018-03-17,Needs Care,Up to Date
221,1209,2018-03-17,Healthy,Up to Date
222,246,2018-03-18,Healthy,Up to Date
223,335,2018-03-18,Healthy,Up to Date
224,525,2018-03-18,Healthy,Up to Date
225,1254,2018-03-18,Healthy,Up to Date
226,98,2018-03-23,Needs Care,Up to Date
227,427,2018-03-24,Healthy,Up to Date
228,1298,2018-03-24,Needs Care,Up to Date
229,882,2018-03-26,Healthy,Up to Date
230,1595,2018-03-26,Needs Care,Up to Date
231,1722,2018-03-29,Needs Care,Up to Date
232,1035,2018-03-31,Needs Care,Up to Date
233,1353,2018-04-01,Needs Care,Up to Date
234,1362,2018-04-01,Needs Care,Up to Date
235,1831,2018-04-01,Needs Care,Up to Date
236,128,2018-04-02,Needs Care,Up to Date
237,1712,2018-04-02,Healthy,Up to Date
238,1341,2018-04-03,Healthy,Up to Date
239,500,2018-04-04,Healthy,Up to Date
240,579,2018-04-04,Healthy,Up to Date
241,850,2018-04-05,Healthy,Up to Date
242,1509,2018-04-05,Special Attention,Up to Date
243,206,2018-04-07,Healthy,Up to Date
244,584,2018-04-07,Needs Care,Up to Date
245,338,2018-04-08,Healthy,Up to Date
246,1332,2018-04-08,Needs Care,Up to Date
247,1672,2018-04-08,Needs Care,Up to Date
248,1596,2018-04-11,Healthy,Up to Date
249,1759,2018-04-11,Healthy,Up to Date
250,1787,2018-04-11,Healthy,Up to Date
251,828,2018-04-12,Healthy,Up to Date
252,1503,2018-04-12,Needs Care,Up to Date
253,557,2018-04-13,Healthy,Up to Date
254,755,2018-04-13,Healthy,Up to Date
255,1700,2018-04-13,Needs Care,Up to Date
256,1843,2018-04-13,Healthy,Up to Date
257,955,2018-04-17,Needs Care,Up to Date
258,158,2018-04-18,Healthy,Up to Date
259,969,2018-04-18,Healthy,Up to Date
260,1956,2018-04-18,Healthy,Up to Date
261,1198,2018-04-19,Healthy,Up to Date
262,1048,2018-04-20,Healthy,Up to Date
263,1539,2018-04-20,Needs Care,Needs Update
264,505,2018-04-21,Healthy,Up to Date
265,464,2018-04-22,Needs Care,Up to Date
266,896,2018-04-22,Healthy,Needs Update
267,735,2018-04-23,Healthy,Up to Date
268,643,2018-04-24,Under Observation,Up to Date
269,14,2018-04-25,Healthy,Up to Date
270,99,2018-04-29,Healthy,Needs Update
271,1206,2018-04-29,Healthy,Up to Date
272,1296,2018-04-29,Healthy,Up to Date
273,1612,2018-04-29,Needs Care,Up to Date
274,30,2018-04-30,Healthy,Up to Date
275,738,2018-04-30,Needs Care,Up to Date
276,72,2018-05-01,Healthy,Up to Date
277,833,2018-05-01,Needs Care,Up to Date
278,885,2018-05-01,Healthy,Up to Date
279,927,2018-05-01,Needs Care,Up to Date
280,940,2018-05-01,Healthy,Up to Date
281,1223,2018-05-01,Needs Care,Up to Date
282,1645,2018-05-01,Healthy,Up to Date
283,1766,2018-05-01,Needs Care,Up to Date
284,1983,2018-05-03,Healthy,Up to Date
285,198,2018-05-04,Healthy,Up to Date
286,403,2018-05-07,Healthy,Up to Date
287,734,2018-05-07,Healthy,Up to Date
288,766,2018-05-08,Healthy,Up to Date
289,966,2018-05-08,Needs Care,Up to Date
290,1714,2018-05-11,Needs Care,Up to Date
291,1304,2018-05-12,Healthy,Up to Date
292,830,2018-05-13,Healthy,Up to Date
293,1083,2018-05-13,Healthy,Up to Date
294,1581,2018-05-13,Healthy,Up to Date
295,374,2018-05-15,Under Observation,Needs Update
296,751,2018-05-18,Needs Care,Up to Date
297,790,2018-05-19,Healthy,Up to Date
298,1457,2018-05-19,Needs Care,Up to Date
299,1486,2018-05-20,Special Attention,Up to Date
300,1961,2018-05-28,Healthy,Up to Date
301,178,2018-05-30,Healthy,Up to Date
302,521,2018-05-30,Healthy,Up to Date
303,1407,2018-05-30,Needs Care,Needs Update
304,1409,2018-05-31,Healthy,Up to Date
305,43,2018-06-01,Healthy,Up to Date
306,361,2018-06-01,Healthy,Up to Date
307,1374,2018-06-01,Needs Care,Up to Date
308,1898,2018-06-01,Healthy,Up to Date
309,193,2018-06-02,Healthy,Up to Date
310,1638,2018-06-02,Needs Care,Up to Date
311,1856,2018-06-03,Healthy,Up to Date
312,261,2018-06-05,Needs Care,Up to Date
313,1775,2018-06-05,Healthy,Up to Date
314,821,2018-06-07,Healthy,Up to Date
315,1354,2018-06-07,Healthy,Up to Date
316,667,2018-06-08,Healthy,Up to Date
317,460,2018-06-09,Healthy,Up to Date
318,614,2018-06-09,Healthy,Up to Date
319,959,2018-06-12,Healthy,Up to Date
320,1359,2018-06-12,Healthy,Up to Date
321,1798,2018-06-12,Needs Care,Up to Date
322,767,2018-06-14,Healthy,Needs Update
323,1067,2018-06-15,Needs Care,Up to Date
324,1493,2018-06-16,Healthy,Up to Date
325,1929,2018-06-17,Needs Care,Up to Date
326,936,2018-06-18,Under Observation,Up to Date
327,1181,2018-06-20,Healthy,Up to Date
328,1219,2018-06-20,Needs Care,Up to Date
329,906,2018-06-22,Healthy,Up to Date
330,830,2018-06-23,Healthy,Up to Date
331,1194,2018-06-24,Healthy,Up to Date
332,167,2018-06-26,Under Observation,Needs Update
333,1538,2018-06-26,Needs Care,Up to Date
334,1408,2018-06-30,Healthy,Up to Date
335,1643,2018-06-30,Healthy,Up to Date
336,1816,2018-06-30,Healthy,Needs Update
337,1,2018-07-01,Healthy,Up to Date
338,173,2018-07-01,Healthy,Up to Date
339,570,2018-07-01,Healthy,Up to Date
340,580,2018-07-01,Healthy,Up to Date
341,1405,2018-07-01,Healthy,Up to Date
342,1592,2018-07-01,Needs Care,Up to Date
343,1731,2018-07-01,Healthy,Up to Date
344,1833,2018-07-02,Healthy,Up to Date
345,1332,2018-07-03,Healthy,Up to Date
346,729,2018-07-06,Needs Care,Up to Date
347,599,2018-07-08,Healthy,Up to Date
348,670,2018-07-08,Healthy,Up to Date
349,835,2018-07-08,Needs Care,Up to Date
350,1692,2018-07-09,Needs Care,Up to Date
351,1985,2018-07-09,Healthy,Up to Date
352,283,2018-07-10,Needs Care,Up to Date
353,376,2018-07-13,Needs Care,Up to Date
354,1883,2018-07-14,Healthy,Up to Date
355,749,2018-07-16,Healthy,Up to Date
356,858,2018-07-16,Healthy,Up to Date
357,353,2018-07-18,Healthy,Up to Date
358,662,2018-07-18,Healthy,Up to Date
359,1500,2018-07-18,Needs Care,Up to Date
360,649,2018-07-19,Healthy,Up to Date
361,412,2018-07-20,Healthy,Up to Date
362,1227,2018-07-20,Needs Care,Up to Date
363,1003,2018-07-22,Healthy,Up to Date
364,129,2018-07-24,Healthy,Up to Date
365,1819,2018-07-24,Special Attention,Up to Date
366,545,2018-07-27,Needs Care,Up to Date
367,1253,2018-07-27,Healthy,Up to Date
368,657,2018-07-29,Needs Care,Up to Date
369,1004,2018-07-29,Needs Care,Needs Update
370,989,2018-07-30,Needs Care,Up to Date
371,1016,2018-07-30,Needs Care,Up to Date
372,248,2018-08-01,Healthy,Up to Date
373,252,2018-08-01,Needs Care,Up to Date
374,619,2018-08-01,Healthy,Needs Update
375,741,2018-08-01,Healthy,Up to Date
376,817,2018-08-01,Healthy,Up to Date
377,825,2018-08-01,Healthy,Up to Date
378,1359,2018-08-01,Healthy,Up to Date
379,1659,2018-08-01,Healthy,Up to Date
380,1840,2018-08-01,Healthy,Up to Date
381,659,2018-08-02,Healthy,Up to Date
382,647,2018-08-04,Healthy,Up to Date
383,1121,2018-08-04,Healthy,Needs Update
384,591,2018-08-05,Healthy,Up to Date
385,1234,2018-08-05,Healthy,Up to Date
386,449,2018-08-07,Special Attention,Up to Date
387,1004,2018-08-07,Healthy,Up to Date
388,1260,2018-08-07,Needs Care,Up to Date
389,1263,2018-08-08,Healthy,Up to Date
390,1588,2018-08-11,Healthy,Up to Date
391,1652,2018-08-11,Healthy,Needs Update
392,1808,2018-08-11,Healthy,Up to Date
393,347,2018-08-12,Healthy,Up to Date
394,536,2018-08-13,Healthy,Up to Date
395,1519,2018-08-13,Healthy,Up to Date
396,343,2018-08-14,Healthy,Up to Date
397,360,2018-08-14,Special Attention,Up to Date
398,452,2018-08-14,Healthy,Up to Date
399,928,2018-08-15,Healthy,Up to Date
400,231,2018-08-16,Needs Care,Up to Date
401,352,2018-08-16,Needs Care,Up to Date
402,332,2018-08-18,Needs Care,Up to Date
403,68,2018-08-19,Needs Care,Up to Date
404,1164,2018-08-19,Healthy,Up to Date
405,756,2018-08-20,Special Attention,Up to Date
406,986,2018-08-20,Healthy,Up to Date
407,1134,2018-08-21,Healthy,Up to Date
408,922,2018-08-23,Healthy,Up to Date
409,1243,2018-08-23,Healthy,Needs Update
410,1044,2018-08-24,Healthy,Up to Date
411,1103,2018-08-24,Healthy,Up to Date
412,1730,2018-08-24,Healthy,Up to Date
413,1654,2018-08-26,Needs Care,Up to Date
414,1618,2018-08-28,Needs Care,Up to Date
415,1108,2018-08-30,Healthy,Up to Date
416,1599,2018-08-31,Healthy,Up to Date
417,100,2018-09-01,Healthy,Up to Date
418,847,2018-09-01,Healthy,Up to Date
419,1391,2018-09-01,Healthy,Up to Date
420,1720,2018-09-01,Healthy,Up to Date
421,40,2018-09-02,Healthy,Up to Date
422,1903,2018-09-02,Special Attention,Up to Date
423,1718,2018-09-03,Healthy,Up to Date
424,1845,2018-09-03,Healthy,Up to Date
425,1394,2018-09-05,Under Observation,Up to Date
426,1456,2018-09-05,Healthy,Up to Date
427,1504,2018-09-05,Needs Care,Needs Update
428,428,2018-09-06,Healthy,Up to Date
429,1500,2018-09-06,Healthy,Up to Date
430,1075,2018-09-08,Healthy,Up to Date
431,1282,2018-09-09,Needs Care,Up to Date
432,1291,2018-09-09,Healthy,Up to Date
433,278,2018-09-10,Needs Care,Up to Date
434,1589,2018-09-10,Healthy,Up to Date
435,534,2018-09-11,Healthy,Up to Date
436,1518,2018-09-11,Needs Care,Up to Date
437,1962,2018-09-13,Needs Care,Needs Update
438,357,2018-09-14,Healthy,Up to Date
439,420,2018-09-14,Healthy,Up to Date
440,639,2018-09-14,Healthy,Up to Date
441,1520,2018-09-14,Healthy,Up to Date
442,913,2018-09-15,Healthy,Up to Date
443,1303,2018-09-15,Needs Care,Up to Date
444,1823,2018-09-16,Healthy,Up to Date
445,1986,2018-09-16,Needs Care,Up to Date
446,820,2018-09-17,Healthy,Up to Date
447,1209,2018-09-17,Special Attention,Up to Date
448,246,2018-09-18,Healthy,Up to Date
449,1254,2018-09-18,Healthy,Up to Date
450,407,2018-09-19,Healthy,Up to Date
451,1134,2018-09-19,Healthy,Up to Date
452,201,2018-09-21,Needs Care,Up to Date
453,240,2018-09-21,Needs Care,Up to Date
454,98,2018-09-23,Healthy,Up to Date
455,510,2018-09-23,Needs Care,Up to Date
456,427,2018-09-24,Healthy,Up to Date
457,1298,2018-09-24,Special Attention,Up to Date
458,1234,2018-09-25,Healthy,Up to Date
459,1722,2018-09-29,Needs Care,Up to Date
460,603,2018-09-30,Healthy,Up to Date
461,960,2018-09-30,Healthy,Up to Date
462,1035,2018-09-30,Healthy,Up to Date
463,1466,2018-09-30,Needs Care,Up to Date
464,74,2018-10-01,Healthy,Up to Date
465,402,2018-10-01,Needs Care,Up to Date
466,690,2018-10-01,Healthy,Up to Date
467,862,2018-10-01,Healthy,Up to Date
468,970,2018-10-01,Healthy,Up to Date
469,1008,2018-10-01,Healthy,Up to Date
470,1605,2018-10-01,Needs Care,Up to Date
471,1664,2018-10-01,Healthy,Up to Date
472,1831,2018-10-01,Needs Care,Up to Date
473,1901,2018-10-01,Healthy,Up to Date
474,1922,2018-10-01,Healthy,Up to Date
475,128,2018-10-02,Healthy,Needs Update
476,1166,2018-10-02,Healthy,Up to Date
477,1712,2018-10-02,Healthy,Up to Date
478,500,2018-10-04,Healthy,Up to Date
479,579,2018-10-04,Needs Care,Up to Date
480,1854,2018-10-04,Special Attention,Up to Date
481,658,2018-10-05,Special Attention,Up to Date
482,850,2018-10-05,Healthy,Up to Date
483,1883,2018-10-06,Healthy,Up to Date
484,1942,2018-10-06,Healthy,Up to Date
485,1003,2018-10-07,Healthy,Up to Date
486,620,2018-10-08,Needs Care,Up to Date
487,1672,2018-10-08,Healthy,Up to Date
488,1365,2018-10-09,Healthy,Up to Date
489,1787,2018-10-11,Special Attention,Needs Update
490,318,2018-10-12,Healthy,Up to Date
491,828,2018-10-12,Healthy,Needs Update
492,939,2018-10-12,Healthy,Up to Date
493,1503,2018-10-12,Needs Care,Up to Date
494,1535,2018-10-12,Healthy,Up to Date
495,557,2018-10-13,Healthy,Needs Update
496,755,2018-10-13,Healthy,Up to Date
497,357,2018-10-14,Healthy,Up to Date
498,21,2018-10-16,Needs Care,Up to Date
499,84,2018-10-16,Needs Care,Up to Date
500,354,2018-10-16,Healthy,Up to Date
501,543,2018-10-16,Healthy,Up to Date
502,158,2018-10-18,Healthy,Up to Date
503,1956,2018-10-18,Healthy,Needs Update
504,1198,2018-10-19,Healthy,Up to Date
505,501,2018-10-20,Healthy,Up to Date
506,897,2018-10-20,Healthy,Up to Date
507,1048,2018-10-20,Healthy,Up to Date
508,1539,2018-10-20,Under Observation,Needs Update
509,1976,2018-10-20,Healthy,Up to Date
510,505,2018-10-21,Healthy,Up to Date
511,464,2018-10-22,Healthy,Up to Date
512,896,2018-10-22,Needs Care,Needs Update
513,17,2018-10-23,Needs Care,Up to Date
514,735,2018-10-23,Healthy,Up to Date
515,1934,2018-10-23,Healthy,Up to Date
516,643,2018-10-24,Needs Care,Up to Date
517,966,2018-10-24,Healthy,Up to Date
518,14,2018-10-25,Healthy,Up to Date
519,25,2018-10-25,Needs Care,Up to Date
520,838,2018-10-27,Healthy,Up to Date
521,99,2018-10-29,Healthy,Up to Date
522,1206,2018-10-29,Needs Care,Up to Date
523,1296,2018-10-29,Healthy,Up to Date
524,1612,2018-10-29,Healthy,Up to Date
525,738,2018-10-30,Special Attention,Up to Date
526,408,2018-10-31,Healthy,Up to Date
527,936,2018-10-31,Special Attention,Up to Date
528,1197,2018-10-31,Needs Care,Up to Date
529,117,2018-11-01,Needs Care,Up to Date
530,289,2018-11-01,Needs Care,Up to Date
531,358,2018-11-01,Needs Care,Up to Date
532,428,2018-11-01,Needs Care,Up to Date
533,473,2018-11-01,Healthy,Up to Date
534,783,2018-11-01,Needs Care,Up to Date
535,833,2018-11-01,Healthy,Needs Update
536,953,2018-11-01,Needs Care,Up to Date
537,1178,2018-11-01,Under Observation,Up to Date
538,1706,2018-11-01,Healthy,Up to Date
539,1798,2018-11-01,Under Observation,Up to Date
540,999,2018-11-02,Under Observation,Up to Date
541,1779,2018-11-02,Healthy,Up to Date
542,1449,2018-11-03,Healthy,Up to Date
543,198,2018-11-04,Needs Care,Needs Update
544,734,2018-11-07,Healthy,Up to Date
545,1525,2018-11-07,Needs Care,Up to Date
546,1603,2018-11-07,Needs Care,Up to Date
547,1713,2018-11-07,Healthy,Up to Date
548,766,2018-11-08,Healthy,Needs Update
549,167,2018-11-09,Healthy,Up to Date
550,939,2018-11-09,Healthy,Up to Date
551,1996,2018-11-09,Healthy,Up to Date
552,918,2018-11-10,Healthy,Up to Date
553,588,2018-11-12,Needs Care,Up to Date
554,1304,2018-11-12,Healthy,Up to Date
555,871,2018-11-13,Healthy,Up to Date
556,1083,2018-11-13,Needs Care,Up to Date
557,1581,2018-11-13,Healthy,Up to Date
558,175,2018-11-15,Healthy,Up to Date
559,374,2018-11-15,Healthy,Up to Date
560,751,2018-11-18,Healthy,Up to Date
561,1921,2018-11-18,Needs Care,Up to Date
562,790,2018-11-19,Healthy,Up to Date
563,1457,2018-11-19,Healthy,Up to Date
564,1652,2018-11-23,Needs Care,Up to Date
565,1632,2018-11-24,Healthy,Up to Date
566,622,2018-11-25,Needs Care,Up to Date
567,1566,2018-11-25,Needs Care,Up to Date
568,1589,2018-11-26,Needs Care,Up to Date
569,1867,2018-11-28,Needs Care,Up to Date
570,178,2018-11-30,Healthy,Up to Date
571,521,2018-11-30,Healthy,Needs Update
572,1407,2018-11-30,Healthy,Needs Update
573,1409,2018-11-30,Healthy,Up to Date
574,133,2018-12-01,Needs Care,Up to Date
575,203,2018-12-01,Healthy,Up to Date
576,654,2018-12-01,Healthy,Up to Date
577,1032,2018-12-01,Needs Care,Up to Date
578,1331,2018-12-01,Healthy,Up to Date
579,1699,2018-12-01,Healthy,Up to Date
580,1726,2018-12-01,Healthy,Up to Date
581,1782,2018-12-01,Special Attention,Up to Date
582,1869,2018-12-01,Healthy,Up to Date
583,1898,2018-12-01,Healthy,Up to Date
584,51,2018-12-02,Healthy,Needs Update
585,193,2018-12-02,Healthy,Up to Date
586,1509,2018-12-02,Healthy,Up to Date
587,1638,2018-12-02,Needs Care,Needs Update
588,1856,2018-12-03,Healthy,Up to Date
589,817,2018-12-04,Needs Care,Up to Date
590,1775,2018-12-05,Needs Care,Up to Date
591,80,2018-12-06,Healthy,Up to Date
592,88,2018-12-06,Under Observation,Up to Date
593,1858,2018-12-06,Healthy,Up to Date
594,821,2018-12-07,Healthy,Up to Date
595,1354,2018-12-07,Needs Care,Up to Date
596,667,2018-12-08,Healthy,Up to Date
597,460,2018-12-09,Healthy,Up to Date
598,614,2018-12-09,Needs Care,Up to Date
599,442,2018-12-11,Healthy,Up to Date
600,767,2018-12-14,Healthy,Up to Date
601,1722,2018-12-14,Healthy,Up to Date
602,1067,2018-12-15,Healthy,Up to Date
603,1493,2018-12-16,Healthy,Up to Date
604,1929,2018-12-17,Needs Care,Up to Date
605,246,2018-12-18,Healthy,Up to Date
606,1021,2018-12-18,Needs Care,Up to Date
607,953,2018-12-19,Healthy,Up to Date
608,1185,2018-12-19,Healthy,Up to Date
609,1494,2018-12-19,Needs Care,Up to Date
610,1181,2018-12-20,Healthy,Needs Update
