pet_id,pet_name,species_id,subspecies_id,age_dec_2023,year_of_birth,arrival_date,gender,aggressiveness,adopted_status
40, Jett,2,16,16,12/1/2007,9/2/2017,Male,Medium,Adopted
41, Scout,2,9,5,10/1/2018,5/27/2023,Male,Low,Adopted
42, Felicity,8,66,20,3/1/2003,10/8/2023,Female,Low,Not Adopted
43, Yuki,4,46,5,6/1/2018,6/1/2018,Male,Medium,Not Adopted
44,Selene,3,26,15,12/1/2008,6/22/2023,Female,Medium,Adopted
45, Sugar,3,33,9,7/1/2014,8/14/2021,Female,Medium,Adopted
46,Paco,3,25,1,3/1/2022,5/1/2022,Male,High,Adopted
47,Arturo,6,56,1,1/1/2022,3/1/2022,Male,High,Adopted
48, Taco,1,3,2,12/1/2021,3/1/2022,Male,Low,Not Adopted
49,Cannoli,3,25,6,6/1/2017,6/12/2021,Male,Low,Adopted
50, Georgia,3,28,7,9/1/2016,7/14/2021,Female,Medium,Adopted
51,Barbie,5,52,6,5/1/2017,12/2/2017,Female,Medium,Not Adopted
52, Bertie,2,17,16,3/1/2007,9/21/2022,Male,Low,Adopted
53, Dandelion,11,81,12,4/1/2011,3/14/2019,Female,Medium,Not Adopted
54,Tango,1,4,3,7/1/2020,12/1/2020,Male,High,Not Adopted
55, Rocky,3,28,6,10/1/2017,8/26/2020,Male,Low,Adopted
56,Vandal,3,34,9,8/1/2014,9/12/2020,Male,High,Adopted
57,Kessie,4,47,2,6/1/2021,6/1/2021,Female,Low,Not Adopted
58, Orchid,2,15,6,1/1/2017,11/29/2019,Female,High,Adopted
59,Hammy,7,62,7,10/1/2016,3/1/2022,Male,Low,Adopted
60,Diesel,2,6,2,8/1/2021,5/5/2023,Male,Medium,Adopted
61, Binky,5,53,1,2/1/2022,5/1/2022,Male,Low,Not Adopted
62,Savannah,2,18,6,3/1/2017,6/1/2019,Female,Medium,Adopted
63, Buttercup,11,80,15,11/1/2008,1/26/2023,Female,High,Adopted
64,Jojo,10,75,2,5/1/2021,5/1/2021,Male,High,Adopted
65,Lilah,2,12,5,7/1/2018,1/15/2021,Female,Low,Adopted
66,Tango,2,19,3,4/1/2020,11/15/2022,Female,Medium,Adopted
67,Puck,3,35,12,2/1/2011,4/29/2020,Male,High,Adopted
68, Brody,2,10,17,4/1/2006,8/19/2018,Male,Low,Adopted
69,Porter,5,6,6,5/1/2017,11/26/2022,Male,High,Adopted
70, Hawk,3,36,4,4/1/2019,4/1/2019,Male,Medium,Adopted
71,Farley,2,9,2,6/1/2021,11/1/2021,Male,Low,Adopted
72,Max,3,35,5,5/1/2018,5/1/2018,Male,Medium,Adopted
73,Zosia,8,67,46,5/1/1977,12/5/2022,Female,Low,Not Adopted
74,Indigo,2,11,18,11/1/2005,10/1/2018,Male,Low,Adopted
75, Summer,3,37,3,7/1/2020,9/1/2020,Female,Low,Not Adopted
76,Raya,5,53,5,12/1/2018,6/25/2022,Female,High,Not Adopted
77, Pip,2,14,4,4/1/2019,9/1/2019,Male,High,Adopted
78, Snoop,2,20,20,4/1/2003,7/21/2019,Male,Low,Adopted
79,Ginny,1,5,5,2/1/2018,2/1/2018,Female,Medium,Adopted
80,Dagger,7,63,7,9/1/2016,12/6/2018,Male,Low,Adopted
81,Spock,7,64,3,10/1/2020,6/4/2023,Male,Low,Adopted
82,Liberty,6,57,2,5/1/2021,7/1/2021,Female,Medium,Adopted
83, Rowdy,2,21,1,2/1/2022,7/1/2022,Male,Medium,Adopted
84, Remi,5,51,6,4/1/2017,10/16/2018,Male,Low,Adopted
85, Niko,5,50,7,11/1/2016,11/6/2022,Male,Low,Adopted
86, Felicity,6,56,2,2/1/2021,5/1/2021,Female,High,Adopted
87,Widget,3,38,1,8/1/2022,1/1/2023,Male,Low,Not Adopted
88,Mason,1,4,8,10/1/2015,12/6/2018,Male,Low,Not Adopted
89,Arrow,2,7,4,5/1/2019,7/1/2019,Male,High,Adopted
90,Kolby,1,4,10,8/1/2013,10/26/2023,Male,Low,Not Adopted
91,Conan,2,7,4,7/1/2019,11/7/2019,Male,Medium,Adopted
92, Tula,3,37,4,8/1/2019,6/29/2023,Female,Low,Adopted
93, Simba,6,55,2,8/1/2021,10/1/2021,Male,High,Adopted
94,Witchy,2,22,5,5/1/2018,5/21/2022,Female,Low,Adopted
95,Evie,2,7,7,1/1/2016,2/4/2018,Female,Low,Adopted
96,Darla,3,39,11,6/1/2012,11/11/2020,Female,Low,Adopted
97,Venom,5,6,1,8/1/2022,2/1/2023,Male,High,Adopted
98, Scout,3,33,11,11/1/2012,9/23/2017,Female,Low,Adopted
99,Macee,2,21,20,1/1/2003,10/29/2017,Female,High,Adopted
100, Sally,2,19,6,7/1/2017,9/1/2017,Female,High,Adopted
101,Cairo,2,21,18,9/1/2005,12/4/2021,Female,Low,Adopted
102, Roxy,4,46,4,2/1/2019,2/1/2019,Female,Low,Not Adopted
103, Pansy,3,28,6,4/1/2017,11/21/2019,Female,High,Adopted
104, Koji,5,50,1,8/1/2022,8/1/2022,Male,Low,Not Adopted
105,Clifford,10,76,11,2/1/2012,1/8/2022,Male,Medium,Adopted
106, Adeline,2,10,8,11/1/2015,3/30/2019,Female,High,Adopted
107, Max,6,55,2,10/1/2021,10/1/2021,Male,Low,Adopted
108,Leroy,1,4,2,3/1/2021,4/1/2021,Male,High,Adopted
109,Roisin,2,6,1,8/1/2022,8/1/2022,Female,Medium,Adopted
110,Leviathan,2,22,2,6/1/2021,12/1/2021,Male,Low,Adopted
111, Pip,3,40,15,10/1/2008,7/12/2021,Male,High,Adopted
112, Coco,3,40,11,3/1/2012,4/5/2019,Female,High,Adopted
113,Savage,2,19,18,2/1/2005,3/12/2023,Male,High,Adopted
114,Fuji,1,4,3,12/1/2020,4/1/2021,Male,Medium,Adopted
115, Hawk,2,22,19,6/1/2004,8/10/2020,Male,High,Adopted
116,Missy,1,4,8,5/1/2015,2/22/2020,Female,High,Adopted
117,Yeti,3,34,14,11/1/2009,11/1/2018,Female,Medium,Not Adopted
118, Rex,5,53,1,9/1/2022,12/1/2022,Male,Medium,Not Adopted
119, Cooper,4,45,1,8/1/2022,2/1/2023,Male,Medium,Not Adopted
120, Wiggly,2,14,13,7/1/2010,9/1/2021,Male,Medium,Adopted
121,Cruncher,3,31,12,9/1/2011,9/15/2021,Male,Medium,Adopted
122, Nova,2,19,1,1/1/2022,5/1/2022,Female,Medium,Adopted
123, Ozzie,6,56,3,12/1/2020,12/1/2020,Male,Low,Adopted
124,Riley,2,20,7,4/1/2016,9/16/2020,Male,Low,Not Adopted
125,Taz,6,55,2,2/1/2021,2/1/2021,Male,High,Adopted
126, Midnight,2,18,4,7/1/2019,11/29/2023,Male,Low,Adopted
127, Pip,9,70,2,8/1/2021,11/1/2021,Male,Low,Adopted
128,Zodiac,3,40,11,12/1/2012,4/2/2017,Male,Medium,Adopted
129,Khaleesi,3,26,5,6/1/2018,7/24/2018,Female,High,Adopted
130,Hydro,3,31,4,8/1/2019,3/18/2023,Male,Low,Adopted
131, Clyde,3,25,12,6/1/2011,10/30/2021,Male,Low,Adopted
132,Clancy,2,17,20,2/1/2003,4/17/2023,Male,Low,Adopted
133,Taz,7,64,5,12/1/2018,12/1/2018,Male,Medium,Adopted
134,Cannoli,2,16,2,6/1/2021,6/1/2021,Male,Medium,Adopted
135,Salsa,5,50,4,4/1/2019,4/1/2019,Female,Low,Adopted
136, Simba,1,5,1,8/1/2022,6/29/2023,Male,Medium,Not Adopted
137,Juke,11,82,45,7/1/1978,3/26/2020,Male,Low,Not Adopted
138,Lolly,3,34,2,2/1/2021,5/1/2021,Female,Medium,Adopted
139,Ezra,2,13,5,11/1/2018,1/1/2019,Male,Medium,Adopted
140, Skipper,5,6,3,4/1/2020,10/1/2020,Male,Medium,Not Adopted
141,Spock,6,57,1,12/1/2022,5/20/2023,Male,High,Adopted
142, Olive,2,21,9,10/1/2014,1/29/2021,Female,High,Adopted
143,Ranger,3,32,4,7/1/2019,10/6/2021,Male,High,Not Adopted
144,Croissant,3,33,8,4/1/2015,11/25/2022,Male,Low,Adopted
145, Remi,2,17,1,12/1/2022,12/1/2022,Male,Low,Adopted
146, Dodger,2,20,3,8/1/2020,1/1/2021,Male,Low,Adopted
147,Vader,6,58,1,2/1/2022,6/1/2022,Male,High,Adopted
148,Woody,3,25,7,10/1/2016,4/3/2020,Male,Low,Not Adopted
149,Whiskey,2,23,11,3/1/2012,10/21/2022,Male,Medium,Adopted
150,Nitro,2,18,13,11/1/2010,9/30/2023,Male,Medium,Adopted
151,Igor,2,6,9,3/1/2014,8/25/2023,Male,Medium,Not Adopted
152, Matilda,3,36,3,4/1/2020,8/1/2020,Female,High,Adopted
153, Bianca,2,8,6,7/1/2017,3/8/2018,Female,Low,Adopted
154,Reaper,5,53,5,4/1/2018,2/15/2020,Male,Medium,Not Adopted
155, Pickles,3,40,4,12/1/2019,1/1/2020,Male,High,Not Adopted
156, Alf,5,6,2,2/1/2021,7/1/2021,Male,High,Adopted
157,Wolverine,3,33,11,3/1/2012,1/27/2022,Male,High,Adopted
158, Chopper,2,22,11,12/1/2012,4/18/2017,Male,Low,Adopted
159,Jewel,3,26,3,6/1/2020,6/1/2020,Female,Low,Adopted
160,Esmeralda,2,7,18,6/1/2005,6/6/2019,Female,Medium,Adopted
161, Mango,11,82,7,6/1/2016,7/27/2020,Female,Low,Not Adopted
162, Dewey,9,71,3,10/1/2020,10/5/2022,Male,High,Adopted
163, Charley,2,15,9,6/1/2014,8/7/2022,Female,High,Adopted
164,Sage,2,17,19,9/1/2004,11/30/2021,Female,Low,Adopted
165,Cruncher,5,52,3,3/1/2020,7/1/2020,Male,Medium,Not Adopted
166,Kitkat,3,31,3,9/1/2020,9/1/2020,Female,Low,Adopted
167,Java,3,35,14,7/1/2009,12/26/2017,Male,Low,Adopted
168, Agnes,5,50,2,1/1/2021,2/1/2021,Female,Low,Not Adopted
169,Willoughby,1,3,2,1/1/2021,7/1/2021,Male,Low,Not Adopted
170,Victor,7,64,14,6/1/2009,8/17/2021,Male,High,Adopted
171, Bubbles,2,10,2,5/1/2021,5/1/2021,Female,Low,Adopted
172, Aurora,6,56,2,1/1/2021,6/1/2021,Female,High,Adopted
173, Poppy,4,48,5,7/1/2018,7/1/2018,Female,Low,Not Adopted
174, Pudding,5,53,4,1/1/2019,8/9/2022,Female,Medium,Not Adopted
175,Arya,2,6,11,5/1/2012,11/15/2018,Female,High,Adopted
176, Brody,3,27,10,4/1/2013,5/26/2019,Male,Medium,Adopted
177,Corky,3,31,14,9/1/2009,1/2/2023,Male,Low,Adopted
178, Bailey,2,22,19,5/1/2004,5/30/2018,Female,Medium,Not Adopted
179,Lucky,5,52,6,10/1/2017,5/22/2021,Male,Low,Not Adopted
180,Jersey,2,18,2,6/1/2021,9/1/2021,Female,Low,Adopted
181,Barbie,5,53,2,7/1/2021,12/8/2023,Female,High,Adopted
182,Xara,2,6,6,6/1/2017,11/16/2021,Female,Medium,Adopted
183,Kinsley,5,6,2,11/1/2021,11/1/2021,Female,Medium,Not Adopted
184,Jester,3,34,2,6/1/2021,7/1/2021,Male,High,Adopted
185,Azalea,10,77,10,7/1/2013,12/29/2018,Female,High,Adopted
186, Alonzo,11,80,15,7/1/2008,2/25/2023,Male,Medium,Not Adopted
187, Gremlin,2,11,4,5/1/2019,6/1/2019,Male,Medium,Adopted
188,Xerxes,3,41,8,9/1/2015,8/25/2020,Male,Low,Adopted
189,Parrot,1,4,10,4/1/2013,12/15/2019,Female,Low,Not Adopted
190, Sassy,2,19,19,8/1/2004,11/10/2021,Female,Medium,Adopted
191,Leia,3,30,11,3/1/2012,10/9/2020,Female,Low,Not Adopted
192, Buckley,4,49,3,5/1/2020,1/22/2023,Male,Medium,Adopted
193,Yeti,3,42,9,1/1/2014,6/2/2018,Male,Medium,Adopted
194,Aspen,2,17,15,6/1/2008,3/11/2019,Female,Low,Adopted
195, Socks,3,26,13,10/1/2010,5/28/2023,Male,High,Adopted
196,Abe,3,26,11,3/1/2012,1/1/2023,Male,Medium,Adopted
197, Daphne,6,57,3,12/1/2020,12/17/2022,Female,High,Adopted
198,Rio,3,27,14,1/1/2009,11/4/2017,Male,High,Adopted
199,Sonic,2,9,2,8/1/2021,12/1/2021,Male,Low,Adopted
200, Charlie,2,6,7,9/1/2016,9/28/2021,Male,Medium,Adopted
201,Wilder,4,48,5,9/1/2018,9/21/2018,Male,Low,Not Adopted
202,Dolly,4,45,1,2/1/2022,4/1/2022,Female,Medium,Not Adopted
203,Hazel-Rae,10,78,5,11/1/2018,12/1/2018,Female,Low,Adopted
204,Junebug,2,21,1,1/1/2022,6/1/2022,Female,Low,Adopted
205, Basil,3,39,3,11/1/2020,8/28/2022,Male,High,Adopted
206, Buckley,2,17,7,5/1/2016,4/7/2018,Male,Low,Adopted
207,Spock,5,6,1,2/1/2022,4/1/2022,Male,High,Adopted
208, Koji,3,30,13,12/1/2010,2/5/2022,Male,Low,Adopted
209,Arrow,3,40,14,5/1/2009,12/6/2021,Male,Medium,Not Adopted
210,Warrior,7,60,9,7/1/2014,4/6/2020,Male,Medium,Adopted
211, Ruby,6,58,2,9/1/2021,9/1/2021,Female,High,Adopted
212,Wisdom,10,79,8,6/1/2015,4/6/2022,Female,Low,Adopted
213,Ivory,6,57,3,2/1/2020,2/1/2020,Female,Medium,Adopted
214, Mocha,2,18,19,12/1/2004,12/30/2020,Female,Medium,Adopted
215,Ripley,6,58,1,2/1/2022,3/1/2022,Female,Medium,Adopted
216, Max,3,40,15,5/1/2008,2/20/2021,Male,High,Adopted
217, Casey,2,22,12,12/1/2011,6/26/2021,Male,Medium,Adopted
218,Beanie,2,11,1,6/1/2022,11/1/2022,Female,Medium,Adopted
219, Jinx,4,47,5,8/1/2018,12/21/2021,Female,Low,Adopted
220, Brina,2,19,1,1/1/2022,1/1/2022,Female,Medium,Not Adopted
221, Jagger,4,45,3,1/1/2020,7/23/2020,Male,Medium,Not Adopted
222,Casey,3,26,3,3/1/2020,8/1/2020,Female,Low,Adopted
223,Alonso,3,32,10,12/1/2013,8/13/2019,Male,Low,Adopted
224,Stoney,2,15,16,8/1/2007,11/4/2019,Male,Medium,Adopted
225,Arrow,2,16,1,10/1/2022,10/1/2022,Male,Medium,Adopted
226, Drift,2,6,6,7/1/2017,11/1/2019,Male,High,Adopted
227,Tahiti,2,14,16,8/1/2007,11/3/2019,Female,Medium,Adopted
228,Frosty,3,43,15,9/1/2008,6/17/2020,Male,Low,Adopted
229,Tammy,3,30,7,2/1/2016,11/19/2022,Female,Low,Adopted
230, Cooper,8,66,43,4/1/1980,10/15/2022,Male,Low,Not Adopted
231,Paco,4,48,5,4/1/2018,8/16/2018,Male,High,Adopted
232, Tally,9,70,12,7/1/2011,3/7/2021,Female,Low,Adopted
233, Atticus,2,8,2,9/1/2021,9/1/2021,Male,Medium,Adopted
234, Freya,2,16,1,12/1/2022,6/1/2023,Female,Low,Adopted
235,Java,9,70,2,9/1/2021,1/1/2022,Male,Low,Adopted
236, Stone,2,9,4,5/1/2019,3/5/2022,Male,Low,Adopted
237,Frazier,5,50,3,4/1/2020,9/1/2020,Male,Low,Adopted
238, Harley,2,15,9,11/1/2014,1/7/2019,Female,Medium,Adopted
239, Lala,9,72,3,9/1/2020,5/3/2021,Female,Low,Adopted
240, Belen,2,17,5,7/1/2018,9/21/2018,Female,Low,Adopted
241, Alfons,5,6,2,9/1/2021,12/1/2021,Male,Medium,Adopted
242, Spike,3,31,11,9/1/2012,2/18/2019,Male,High,Adopted
243,Mojo,2,12,7,12/1/2016,4/15/2023,Male,Medium,Adopted
244,Yara,3,39,15,3/1/2008,4/28/2021,Female,Medium,Adopted
245, Bea,3,27,11,3/1/2012,12/18/2023,Female,High,Adopted
246, Bodhi,2,12,18,2/1/2005,3/18/2017,Male,Medium,Adopted
247,Saturn,10,77,17,3/1/2006,8/29/2021,Male,Medium,Adopted
248,Mojo,2,8,5,5/1/2018,8/1/2018,Male,Medium,Adopted
249, Mimi,3,36,1,11/1/2022,12/1/2022,Female,High,Not Adopted
250,Kairos,2,23,17,6/1/2006,10/17/2020,Male,Low,Adopted
251,Argus,5,51,1,3/1/2022,8/1/2022,Male,Medium,Not Adopted
252,Rhubarb,2,17,5,3/1/2018,8/1/2018,Male,Low,Adopted
253,Tamara,3,37,5,2/1/2018,10/11/2020,Female,High,Adopted
254, Jacob,2,14,20,3/1/2003,1/20/2022,Male,Medium,Adopted
255, Candy,2,15,19,9/1/2004,11/4/2020,Female,High,Adopted
256, Queenie,2,21,1,5/1/2022,5/1/2022,Female,Medium,Adopted
257,Wilder,6,55,2,2/1/2021,7/1/2021,Male,Low,Adopted
258,Dream,5,52,6,11/1/2017,4/23/2021,Female,Medium,Not Adopted
259,Mirage,2,16,5,5/1/2018,12/6/2020,Male,Low,Adopted
260, Ace,3,28,9,6/1/2014,9/23/2021,Male,Medium,Adopted
261, Dakota,3,39,7,12/1/2016,6/5/2017,Male,Low,Not Adopted
262, Stone,2,23,15,10/1/2008,11/29/2019,Male,Low,Adopted
263,Ripley,2,18,1,6/1/2022,9/1/2022,Female,High,Adopted
264,Ember,1,5,8,5/1/2015,12/1/2021,Male,High,Adopted
265, Spirit,5,50,3,11/1/2020,11/1/2020,Male,Low,Not Adopted
266,Stitch,2,24,4,12/1/2019,4/1/2020,Male,Low,Adopted
267,Panda,5,53,1,5/1/2022,5/1/2022,Male,Medium,Adopted
268,Eloise,2,21,1,3/1/2022,5/1/2022,Female,Medium,Adopted
269,Ladybug,2,7,14,5/1/2009,1/17/2019,Female,Low,Adopted
270,Kermit,3,26,7,9/1/2016,3/16/2017,Male,Medium,Adopted
271,Fuji,7,61,13,11/1/2010,4/9/2023,Male,Low,Adopted
272,Donut,2,20,1,2/1/2022,3/1/2022,Male,Low,Adopted
273, Phineas,5,51,1,2/1/2022,2/1/2022,Male,Medium,Not Adopted
274, Tilly,2,24,1,1/1/2022,1/1/2022,Female,Low,Adopted
275,Chelsea,7,63,6,6/1/2017,5/9/2020,Female,Low,Adopted
276,Ninny,9,72,11,1/1/2012,8/15/2020,Female,Low,Adopted
277,Martha,3,29,7,8/1/2016,7/9/2022,Female,Medium,Adopted
278, Crumpet,3,26,13,9/1/2010,9/10/2017,Male,Medium,Adopted
279, Tessa,6,56,1,2/1/2022,2/1/2022,Female,Low,Adopted
280,Papillon,2,15,18,3/1/2005,6/22/2022,Male,High,Adopted
281,Gatsby,2,18,3,2/1/2020,1/26/2022,Male,Low,Adopted
282, Whiskers,3,39,6,11/1/2017,1/15/2023,Female,Medium,Not Adopted
283, Galaxy,3,40,13,7/1/2010,1/10/2018,Male,High,Adopted
284,Mika,5,6,2,11/1/2021,4/1/2022,Female,Medium,Adopted
285,Matty,3,37,6,11/1/2017,1/5/2020,Female,Low,Adopted
286, Vader,3,37,3,1/1/2020,7/1/2020,Male,Low,Adopted
287, Chester,1,3,2,5/1/2021,1/18/2022,Male,Low,Adopted
288,Biscuit,8,65,35,3/1/1988,10/26/2022,Male,Low,Not Adopted
289,Kairos,5,51,5,11/1/2018,11/1/2018,Male,Medium,Adopted
290,Wyatt,2,18,2,6/1/2021,11/1/2021,Male,Medium,Adopted
291, Pippin,3,38,4,2/1/2019,12/31/2022,Male,Low,Not Adopted
292,Kinsley,5,50,1,4/1/2022,5/1/2022,Female,Low,Not Adopted
293,Joplin,6,57,1,8/1/2022,2/1/2023,Male,Medium,Adopted
294, Mango,1,4,2,4/1/2021,7/1/2021,Female,High,Not Adopted
295, Clementine,3,44,11,9/1/2012,1/2/2023,Female,High,Adopted
296, Frankie,2,24,2,10/1/2021,11/1/2021,Female,Low,Adopted
297,Radar,3,38,11,6/1/2012,9/2/2021,Male,Low,Adopted
298,Nero,3,33,6,12/1/2017,10/13/2020,Male,Low,Adopted
299, Winnie,4,45,5,4/1/2018,12/20/2020,Female,Low,Not Adopted
300,Liliana,7,62,8,1/1/2015,11/29/2021,Female,Low,Adopted
301,Geneva,3,39,6,5/1/2017,9/9/2020,Female,Medium,Adopted
302, Sweetie,2,9,19,5/1/2004,12/20/2021,Female,Low,Not Adopted
303, Augustus,2,15,3,8/1/2020,2/24/2021,Male,Medium,Adopted
304,Donut,3,33,2,9/1/2021,11/1/2021,Male,Low,Adopted
305,Lace,5,51,4,4/1/2019,2/6/2021,Female,Low,Not Adopted
306, Anya,2,12,8,6/1/2015,1/12/2018,Female,Low,Adopted
307,Titan,2,7,12,5/1/2011,11/20/2019,Male,Low,Adopted
308,Rembrandt,3,43,5,2/1/2018,2/1/2018,Male,Low,Adopted
309,Farley,6,59,1,2/1/2022,5/1/2022,Male,Medium,Adopted
310,0,3,43,8,12/1/2015,3/14/2021,Female,Low,Not Adopted
311,Iverson,5,50,7,7/1/2016,5/28/2019,Male,Low,Adopted
312,Alexandria,3,25,7,12/1/2016,8/31/2022,Female,Low,Not Adopted
313, Tux,1,4,1,7/1/2022,12/1/2022,Male,Medium,Adopted
314,Macee,2,22,5,4/1/2018,4/29/2019,Female,High,Adopted
315, Buckley,3,33,5,12/1/2018,1/12/2020,Male,Medium,Adopted
316,Zigzag,6,55,3,7/1/2020,3/3/2021,Male,High,Adopted
317, Henry,9,73,1,9/1/2022,3/1/2023,Male,High,Adopted
318, Bandit,3,33,11,4/1/2012,10/12/2018,Male,Medium,Adopted
319, Chopper,2,10,17,1/1/2006,12/27/2019,Male,Medium,Not Adopted
320,Hunter,5,52,7,9/1/2016,12/7/2021,Male,Low,Not Adopted
321,Tobias,6,57,2,3/1/2021,3/1/2021,Male,Medium,Adopted
322, Henry,2,24,8,8/1/2015,12/26/2020,Male,Low,Not Adopted
323,Cannoli,2,13,4,8/1/2019,8/1/2019,Male,Medium,Adopted
324, Clyde,5,52,6,9/1/2017,7/6/2021,Male,Low,Not Adopted
325, Brody,3,43,14,3/1/2009,2/10/2021,Male,Low,Adopted
326,Kyoto,3,26,7,8/1/2016,2/5/2021,Male,Medium,Adopted
327,Buzzard,3,31,11,6/1/2012,5/22/2021,Male,Low,Adopted
328, Boots,2,12,2,4/1/2021,5/1/2021,Male,Low,Adopted
329, Chief,2,10,6,7/1/2017,7/1/2017,Male,High,Adopted
330, Prince,3,40,10,11/1/2013,9/26/2022,Male,Medium,Adopted
331,Flash,3,25,5,11/1/2018,7/19/2022,Male,Medium,Adopted
332, Cooper,1,4,10,5/1/2013,8/18/2018,Male,Low,Adopted
333,Brielle,3,31,1,10/1/2022,10/1/2022,Female,Medium,Adopted
334,Faron,3,25,2,3/1/2021,6/1/2021,Male,Medium,Adopted
335,Alonso,5,6,7,2/1/2016,3/18/2017,Male,Medium,Not Adopted
336,Tango,3,25,1,5/1/2022,5/1/2022,Male,Low,Adopted
337,Witchy,8,67,33,9/1/1990,11/29/2023,Female,Low,Adopted
338,Amos,5,52,7,6/1/2016,4/8/2017,Male,High,Adopted
339, Enzo,5,6,7,2/1/2016,4/9/2023,Male,Medium,Not Adopted
340,Taz,3,29,3,12/1/2020,5/1/2021,Male,Low,Adopted
341, Maisie,2,15,6,2/1/2017,4/22/2021,Female,Medium,Not Adopted
342,0,1,5,9,1/1/2014,4/17/2019,Female,Low,Adopted
343, Dodge,2,10,5,1/1/2018,8/14/2018,Male,Low,Adopted
344,Foxy,2,9,6,4/1/2017,3/4/2021,Female,Low,Adopted
345,Joey,2,13,12,11/1/2011,9/15/2020,Female,High,Adopted
346,Snooze,4,46,5,1/1/2018,1/2/2023,Male,Medium,Not Adopted
347, Hank,2,20,14,7/1/2009,8/12/2017,Male,Low,Adopted
348,Lark,2,14,2,6/1/2021,9/1/2021,Male,Medium,Adopted
349, Winston,2,16,2,10/1/2021,2/1/2022,Male,High,Adopted
350,Rex,3,39,8,2/1/2015,10/24/2023,Male,Medium,Not Adopted
351,Cruz,2,8,2,4/1/2021,4/1/2021,Male,Low,Adopted
352,Mac,4,47,5,8/1/2018,8/16/2018,Male,Low,Adopted
353, Lyla,7,60,12,2/1/2011,7/18/2018,Female,Medium,Adopted
354, Harley,7,64,10,10/1/2013,10/16/2018,Female,High,Adopted
355,Raindrop,1,4,6,11/1/2017,5/24/2020,Female,Medium,Adopted
356, Lobo,3,30,14,1/1/2009,6/6/2023,Male,Low,Not Adopted
357,Ruben,2,17,16,2/1/2007,3/14/2018,Male,Low,Adopted
358, Cooper,4,46,5,9/1/2018,11/1/2018,Male,Low,Adopted
359,Indi,2,18,13,12/1/2010,12/28/2018,Female,Medium,Adopted
360,Snickers,3,42,14,6/1/2009,8/14/2017,Male,Medium,Adopted
361, Beauregard,3,43,5,6/1/2018,6/1/2018,Male,Low,Adopted
362, Amigo,8,68,15,11/1/2008,10/27/2019,Male,Low,Adopted
